proj,algo,exp,iter,F1,fpr,fnr,recall,tnr,precision,auc,G,accuracy,Gmean,balance
f1,nsga3,1,2,0.533333333,0.084337349,0,1,0.915662651,0.363636364,0.957831325,0.956902634,0.91954023,0.603022689,0.940364488
f1,rs,1,2,0.087912088,1,0,1,0,0.045977011,0.5,0,0.045977011,0,0.292893219
f1,spea2,1,2,0.727272727,0.036144578,0,1,0.963855422,0.571428571,0.981927711,0.981761387,0.965517241,0.755928946,0.974441924
f2,ga,2,2,0.111111111,1,0,1,0,0.058823529,0.5,0,0.058823529,0,0.292893219
f2,ibea,2,2,0.888888889,0,0.2,0.8,1,1,0.9,0.894427191,0.988235294,0.99380799,0.858578644
f2,nsga2,2,2,0.833333333,0.025,0,1,0.975,0.714285714,0.9875,0.987420883,0.976470588,0.845154255,0.98232233
f2,nsga3,2,2,0.8,0.0125,0.2,0.8,0.9875,0.8,0.89375,0.888819442,0.976470588,0.888819442,0.858302699
f2,rs,2,2,0.111111111,1,0,1,0,0.058823529,0.5,0,0.058823529,0,0.292893219
f2,spea2,2,2,0.666666667,0.0375,0.2,0.8,0.9625,0.571428571,0.88125,0.877496439,0.952941176,0.751067616,0.856114195
f3,ga,3,2,0.068181818,1,0,1,0,0.035294118,0.5,0,0.035294118,0,0.292893219
f3,ibea,3,2,0.666666667,0.036585366,0,1,0.963414634,0.5,0.981707317,0.981536874,0.964705882,0.707106781,0.97413024
f3,nsga2,3,2,0.666666667,0.036585366,0,1,0.963414634,0.5,0.981707317,0.981536874,0.964705882,0.707106781,0.97413024
f3,nsga3,3,2,0.461538462,0.085365854,0,1,0.914634146,0.3,0.957317073,0.95636507,0.917647059,0.547722558,0.939637226
f3,rs,3,2,0.068181818,1,0,1,0,0.035294118,0.5,0,0.035294118,0,0.292893219
f3,spea2,3,2,0.545454545,0.06097561,0,1,0.93902439,0.375,0.969512195,0.969032709,0.941176471,0.612372436,0.956883733
f4,ga,4,2,0.08988764,1,0,1,0,0.047058824,0.5,0,0.047058824,0,0.292893219
f4,ibea,4,2,0.571428571,0.074074074,0,1,0.925925926,0.4,0.962962963,0.962250449,0.929411765,0.632455532,0.94762172
f4,nsga2,4,2,0.571428571,0.074074074,0,1,0.925925926,0.4,0.962962963,0.962250449,0.929411765,0.632455532,0.94762172
f4,nsga3,4,2,0.533333333,0.086419753,0,1,0.913580247,0.363636364,0.956790123,0.955813919,0.917647059,0.603022689,0.938892007
