proj,algo,exp,iter,tp,tn,fp,fn,F1,fpr,fnr,recall,tnr,precision,auc,G,accuracy,Gmean,balance
f3,nsga3,3,1,38.0,21.0,7.0,3.0,0.8837209302325582,0.25,0.07317073170731707,0.926829268292683,0.75,0.8444444444444444,0.8384146341463414,0.8337397382993762,0.855072463768116,0.8595864638818418,0.8158072260122778
f3,rs,3,1,41.0,18.0,10.0,0.0,0.891304347826087,0.35714285714285715,0.0,1.0,0.6428571428571429,0.803921568627451,0.8214285714285714,0.8017837257372732,0.855072463768116,0.8966167345234256,0.7474618638619474
f3,spea2,3,1,29.0,22.0,6.0,12.0,0.7631578947368421,0.21428571428571427,0.2926829268292683,0.7073170731707317,0.7857142857142857,0.8285714285714286,0.7465156794425087,0.7454858341510324,0.7391304347826086,0.7322120278863989,0.7435027651179398
f4,ga,4,1,41.0,18.0,6.0,4.0,0.891304347826087,0.25,0.08888888888888889,0.9111111111111111,0.75,0.8723404255319149,0.8305555555555555,0.8266397845091497,0.855072463768116,0.8448272459119693,0.8123817245470191
f4,ibea,4,1,45.0,18.0,6.0,0.0,0.9375,0.25,0.0,1.0,0.75,0.8823529411764706,0.875,0.8660254037844386,0.9130434782608695,0.9393364366277243,0.8232233047033631
f4,nsga2,4,1,45.0,18.0,6.0,0.0,0.9375,0.25,0.0,1.0,0.75,0.8823529411764706,0.875,0.8660254037844386,0.9130434782608695,0.9393364366277243,0.8232233047033631
f4,nsga3,4,1,45.0,18.0,6.0,0.0,0.9375,0.25,0.0,1.0,0.75,0.8823529411764706,0.875,0.8660254037844386,0.9130434782608695,0.9393364366277243,0.8232233047033631
f4,rs,4,1,45.0,18.0,6.0,0.0,0.9375,0.25,0.0,1.0,0.75,0.8823529411764706,0.875,0.8660254037844386,0.9130434782608695,0.9393364366277243,0.8232233047033631
f4,spea2,4,1,40.0,19.0,5.0,5.0,0.8888888888888888,0.20833333333333334,0.1111111111111111,0.8888888888888888,0.7916666666666666,0.8888888888888888,0.8402777777777778,0.838870492807861,0.855072463768116,0.838870492807861,0.8330442322198429
f1,ga,1,2,27.0,39.0,2.0,1.0,0.9473684210526316,0.04878048780487805,0.03571428571428571,0.9642857142857143,0.9512195121951219,0.9310344827586207,0.9577526132404182,0.9577303309176242,0.9565217391304348,0.9527636751522672,0.9572504608529899
f1,ibea,1,2,26.0,34.0,7.0,2.0,0.8524590163934426,0.17073170731707318,0.07142857142857142,0.9285714285714286,0.8292682926829268,0.7878787878787878,0.8789198606271778,0.8775162922735822,0.8695652173913043,0.8626168002698209,0.8691348849010377
f1,nsga2,1,2,26.0,40.0,1.0,2.0,0.9454545454545454,0.024390243902439025,0.07142857142857142,0.9285714285714286,0.975609756097561,0.9629629629629629,0.9520905923344948,0.9518000551311894,0.9565217391304348,0.9576573415237051,0.9466290115608349
