proj,algo,exp,iter,F1,fpr,fnr,recall,tnr,precision,auc,G,accuracy,Gmean,balance
f3,ibea,3,2,0.666666667,0.144927536,0.1875,0.8125,0.855072464,0.565217391,0.833786232,0.833514473,0.847058824,0.733394957,0.83242876
f3,nsga2,3,2,0.666666667,0.202898551,0.0625,0.9375,0.797101449,0.517241379,0.867300725,0.864455094,0.823529412,0.712744643,0.849876598
f3,nsga3,3,2,0.711111111,0.188405797,0,1,0.811594203,0.551724138,0.905797101,0.900885233,0.847058824,0.742781353,0.866776983
f3,rs,3,2,0.316831683,1,0,1,0,0.188235294,0.5,0,0.188235294,0,0.292893219
f3,spea2,3,2,0.714285714,0.15942029,0.0625,0.9375,0.84057971,0.576923077,0.889039855,0.88771813,0.858823529,0.753090114,0.878919286
f4,ga,4,2,0.380952381,1,0,1,0,0.235294118,0.5,0,0.235294118,0,0.292893219
f4,ibea,4,2,0.693877551,0.184615385,0.15,0.85,0.815384615,0.586206897,0.832692308,0.832512416,0.823529412,0.744850962,0.831799465
f4,nsga2,4,2,0.730769231,0.2,0.05,0.95,0.8,0.59375,0.875,0.871779789,0.835294118,0.763247777,0.854226203
f4,nsga3,4,2,0.68,0.2,0.15,0.85,0.8,0.566666667,0.825,0.824621125,0.811764706,0.731954627,0.823223305
f4,rs,4,2,0.380952381,1,0,1,0,0.235294118,0.5,0,0.235294118,0,0.292893219
f4,spea2,4,2,0.68,0.2,0.15,0.85,0.8,0.566666667,0.825,0.824621125,0.811764706,0.731954627,0.823223305
f5,ga,5,2,0.3,1,0,1,0,0.176470588,0.5,0,0.176470588,0,0.292893219
f5,ibea,5,2,0.666666667,0.128571429,0.2,0.8,0.871428571,0.571428571,0.835714286,0.834950811,0.858823529,0.737999226,0.83187711
f5,nsga2,5,2,0.731707317,0.157142857,0,1,0.842857143,0.576923077,0.921428571,0.918072515,0.870588235,0.759554525,0.88888322
f5,nsga3,5,2,0.722222222,0.114285714,0.133333333,0.866666667,0.885714286,0.619047619,0.876190476,0.876138715,0.882352941,0.774404533,0.875824716
f5,rs,5,2,0.3,1,0,1,0,0.176470588,0.5,0,0.176470588,0,0.292893219
f5,spea2,5,2,0.666666667,0.157142857,0.133333333,0.866666667,0.842857143,0.541666667,0.854761905,0.854678998,0.847058824,0.723814274,0.854274821
f6,ga,6,2,0.265306122,1,0,1,0,0.152941176,0.5,0,0.152941176,0,0.292893219
f6,ibea,6,2,0,0,1,0,1,0,0.5,0,0.847058824,0,0.292893219
f6,nsga2,6,2,0,0,1,0,1,0,0.5,0,0.847058824,0,0.292893219
f6,nsga3,6,2,0.742857143,0.125,0,1,0.875,0.590909091,0.9375,0.935414347,0.894117647,0.768706115,0.911611652
f6,rs,6,2,0.265306122,1,0,1,0,0.152941176,0.5,0,0.152941176,0,0.292893219
f6,spea2,6,2,0,0,1,0,1,0,0.5,0,0.847058824,0,0.292893219
f7,ga,7,2,0.349514563,1,0,1,0,0.211764706,0.5,0,0.211764706,0,0.292893219
f7,ibea,7,2,0.80952381,0.104477612,0.055555556,0.944444444,0.895522388,0.708333333,0.919983416,0.919658167,0.905882353,0.834698336,0.916328048
f7,nsga2,7,2,0.75,0.104477612,0.166666667,0.833333333,0.895522388,0.681818182,0.864427861,0.863868426,0.882352941,0.805822964,0.860907676
f7,nsga3,7,2,0.818181818,0.119402985,0,1,0.880597015,0.692307692,0.940298507,0.938401308,0.905882353,0.832050294,0.91556934
f7,rs,7,2,0.349514563,1,0,1,0,0.211764706,0.5,0,0.211764706,0,0.292893219
f7,spea2,7,2,0.8,0.134328358,0,1,0.865671642,0.666666667,0.932835821,0.930414769,0.894117647,0.816496581,0.905015507
f8,ga,8,2,0.365384615,1,0,1,0,0.223529412,0.5,0,0.223529412,0,0.292893219
f8,ibea,8,2,0.730769231,0.212121212,0,1,0.787878788,0.575757576,0.893939394,0.887625365,0.835294118,0.758786911,0.850007652
f8,nsga2,8,2,0.730769231,0.212121212,0,1,0.787878788,0.575757576,0.893939394,0.887625365,0.835294118,0.758786911,0.850007652
f8,nsga3,8,2,0.705882353,0.212121212,0.052631579,0.947368421,0.787878788,0.5625,0.867623604,0.863951088,0.823529412,0.742890835,0.845459566
f8,rs,8,2,0.365384615,1,0,1,0,0.223529412,0.5,0,0.223529412,0,0.292893219
f8,spea2,8,2,0.705882353,0.212121212,0.052631579,0.947368421,0.787878788,0.5625,0.867623604,0.863951088,0.823529412,0.742890835,0.845459566
f9,ga,9,2,0.365384615,1,0,1,0,0.223529412,0.5,0,0.223529412,0,0.292893219
f9,ibea,9,2,0.711111111,0.151515152,0.157894737,0.842105263,0.848484848,0.615384615,0.845295056,0.845289037,0.847058824,0.764260343,0.845262175
f9,nsga2,9,2,0.782608696,0.136363636,0.052631579,0.947368421,0.863636364,0.666666667,0.905502392,0.904534034,0.882352941,0.809427213,0.896643519
f9,nsga3,9,2,0.681818182,0.151515152,0.210526316,0.789473684,0.848484848,0.6,0.818979266,0.818447591,0.835294118,0.748331477,0.816590389
f9,rs,9,2,0.365384615,1,0,1,0,0.223529412,0.5,0,0.223529412,0,0.292893219
f9,spea2,9,2,0.711111111,0.151515152,0.157894737,0.842105263,0.848484848,0.615384615,0.845295056,0.845289037,0.847058824,0.764260343,0.845262175
f10,ga,0,3,0.392523364,1,0,1,0,0.244186047,0.5,0,0.244186047,0,0.292893219
f10,ibea,0,3,0,0,1,0,1,0,0.5,0,0.755813953,0,0.292893219
f10,nsga2,0,3,0.775510204,0.138461538,0.095238095,0.904761905,0.861538462,0.678571429,0.883150183,0.882885711,0.872093023,0.809427213,0.881168412
f10,nsga3,0,3,0,0,1,0,1,0,0.5,0,0.755813953,0,0.292893219
f10,rs,0,3,0.392523364,1,0,1,0,0.244186047,0.5,0,0.244186047,0,0.292893219
f10,spea2,0,3,0,0,1,0,1,0,0.5,0,0.755813953,0,0.292893219
f1,ga,1,3,0.242424242,1,0,1,0,0.137931034,0.5,0,0.137931034,0,0.292893219
f1,ibea,1,3,0.631578947,0.186666667,0,1,0.813333333,0.461538462,0.906666667,0.901849951,0.83908046,0.67936622,0.868006734
f1,nsga2,1,3,0.631578947,0.186666667,0,1,0.813333333,0.461538462,0.906666667,0.901849951,0.83908046,0.67936622,0.868006734
f1,nsga3,1,3,0.611111111,0.173333333,0.083333333,0.916666667,0.826666667,0.458333333,0.871666667,0.870504324,0.83908046,0.671608667,0.864005719
f1,rs,1,3,0.242424242,1,0,1,0,0.137931034,0.5,0,0.137931034,0,0.292893219
f1,spea2,1,3,0.594594595,0.186666667,0.083333333,0.916666667,0.813333333,0.44,0.865,0.86345559,0.827586207,0.657953817,0.855450893
f2,ga,2,3,0.396226415,1,0,1,0,0.247058824,0.5,0,0.247058824,0,0.292893219
f2,ibea,2,3,0.784313725,0.15625,0.047619048,0.952380952,0.84375,0.666666667,0.898065476,0.896421457,0.870588235,0.809039835,0.884497541
f2,nsga2,2,3,0.8,0.140625,0.047619048,0.952380952,0.859375,0.689655172,0.905877976,0.904683581,0.882352941,0.823006623,0.895016753
f2,nsga3,2,3,0.740740741,0.203125,0.047619048,0.952380952,0.796875,0.606060606,0.874627976,0.871165066,0.835294118,0.770977039,0.852474851
f2,rs,2,3,0.396226415,1,0,1,0,0.247058824,0.5,0,0.247058824,0,0.292893219
f2,spea2,2,3,0.763636364,0.203125,0,1,0.796875,0.617647059,0.8984375,0.892678554,0.847058824,0.785905248,0.856368935
f3,ga,3,3,0.316831683,1,0,1,0,0.188235294,0.5,0,0.188235294,0,0.292893219
f3,ibea,3,3,0.682926829,0.15942029,0.125,0.875,0.84057971,0.56,0.857789855,0.857617191,0.847058824,0.735753582,0.856752262
f3,nsga2,3,3,0.681818182,0.188405797,0.0625,0.9375,0.811594203,0.535714286,0.874547101,0.872278376,0.835294118,0.72547625,0.859637978
f3,nsga3,3,3,0.564102564,0.173913043,0.3125,0.6875,0.826086957,0.47826087,0.756793478,0.753614479,0.8,0.663092335,0.747114654
f3,rs,3,3,0.316831683,1,0,1,0,0.188235294,0.5,0,0.188235294,0,0.292893219
f3,spea2,3,3,0.711111111,0.188405797,0,1,0.811594203,0.551724138,0.905797101,0.900885233,0.847058824,0.742781353,0.866776983
f4,ga,4,3,0.380952381,1,0,1,0,0.235294118,0.5,0,0.235294118,0,0.292893219
f4,ibea,4,3,0.68,0.2,0.15,0.85,0.8,0.566666667,0.825,0.824621125,0.811764706,0.731954627,0.823223305
f4,nsga2,4,3,0.653061224,0.2,0.2,0.8,0.8,0.551724138,0.8,0.8,0.8,0.715762021,0.8
f4,nsga3,4,3,0.693877551,0.184615385,0.15,0.85,0.815384615,0.586206897,0.832692308,0.832512416,0.823529412,0.744850962,0.831799465
f4,rs,4,3,0.380952381,1,0,1,0,0.235294118,0.5,0,0.235294118,0,0.292893219
f4,spea2,4,3,0.68,0.2,0.15,0.85,0.8,0.566666667,0.825,0.824621125,0.811764706,0.731954627,0.823223305
f5,ga,5,3,0.3,1,0,1,0,0.176470588,0.5,0,0.176470588,0,0.292893219
f5,ibea,5,3,0.702702703,0.128571429,0.133333333,0.866666667,0.871428571,0.590909091,0.869047619,0.869044357,0.870588235,0.756406023,0.869025976
f5,nsga2,5,3,0.666666667,0.157142857,0.133333333,0.866666667,0.842857143,0.541666667,0.854761905,0.854678998,0.847058824,0.723814274,0.854274821
f5,nsga3,5,3,0.717948718,0.142857143,0.066666667,0.933333333,0.857142857,0.583333333,0.895238095,0.894427191,0.870588235,0.757476397,0.888526668
f5,rs,5,3,0.3,1,0,1,0,0.176470588,0.5,0,0.176470588,0,0.292893219
f5,spea2,5,3,0.631578947,0.157142857,0.2,0.8,0.842857143,0.52173913,0.821428571,0.821149021,0.835294118,0.704623083,0.820147453
f6,ga,6,3,0.265306122,1,0,1,0,0.152941176,0.5,0,0.152941176,0,0.292893219
f6,ibea,6,3,0,0,1,0,1,0,0.5,0,0.847058824,0,0.292893219
f6,nsga2,6,3,0,0,1,0,1,0,0.5,0,0.847058824,0,0.292893219
f6,nsga3,6,3,0,0,1,0,1,0,0.5,0,0.847058824,0,0.292893219
f6,rs,6,3,0.265306122,1,0,1,0,0.152941176,0.5,0,0.152941176,0,0.292893219
f6,spea2,6,3,0,0,1,0,1,0,0.5,0,0.847058824,0,0.292893219
f7,ga,7,3,0.349514563,1,0,1,0,0.211764706,0.5,0,0.211764706,0,0.292893219
f7,ibea,7,3,0.80952381,0.104477612,0.055555556,0.944444444,0.895522388,0.708333333,0.919983416,0.919658167,0.905882353,0.834698336,0.916328048
f7,nsga2,7,3,0.80952381,0.104477612,0.055555556,0.944444444,0.895522388,0.708333333,0.919983416,0.919658167,0.905882353,0.834698336,0.916328048
f7,nsga3,7,3,0.818181818,0.119402985,0,1,0.880597015,0.692307692,0.940298507,0.938401308,0.905882353,0.832050294,0.91556934
f7,rs,7,3,0.349514563,1,0,1,0,0.211764706,0.5,0,0.211764706,0,0.292893219
f7,spea2,7,3,0.818181818,0.119402985,0,1,0.880597015,0.692307692,0.940298507,0.938401308,0.905882353,0.832050294,0.91556934
f8,ga,8,3,0.368932039,0.984848485,0,1,0.015151515,0.226190476,0.507575758,0.123091491,0.235294118,0.475594866,0.303606958
f8,ibea,8,3,0.705882353,0.212121212,0.052631579,0.947368421,0.787878788,0.5625,0.867623604,0.863951088,0.823529412,0.742890835,0.845459566
f8,nsga2,8,3,0.730769231,0.212121212,0,1,0.787878788,0.575757576,0.893939394,0.887625365,0.835294118,0.758786911,0.850007652
f8,nsga3,8,3,0.730769231,0.212121212,0,1,0.787878788,0.575757576,0.893939394,0.887625365,0.835294118,0.758786911,0.850007652
f8,rs,8,3,0.365384615,1,0,1,0,0.223529412,0.5,0,0.223529412,0,0.292893219
f8,spea2,8,3,0.730769231,0.212121212,0,1,0.787878788,0.575757576,0.893939394,0.887625365,0.835294118,0.758786911,0.850007652
f9,ga,9,3,0.365384615,1,0,1,0,0.223529412,0.5,0,0.223529412,0,0.292893219
f9,ibea,9,3,0.791666667,0.151515152,0,1,0.848484848,0.655172414,0.924242424,0.921132373,0.882352941,0.809427213,0.892862609
f9,nsga2,9,3,0.791666667,0.151515152,0,1,0.848484848,0.655172414,0.924242424,0.921132373,0.882352941,0.809427213,0.892862609
f9,nsga3,9,3,0.711111111,0.151515152,0.157894737,0.842105263,0.848484848,0.615384615,0.845295056,0.845289037,0.847058824,0.764260343,0.845262175
