AvR,MiR,MiP,AvN,MaRP,AvBA,Sys1inv1,BB,BC,TT,RTUAvS1,Istd,class
9.569999695,8.979999542,472,256,29,11.30000019,28,165,165,26,2501,2.948034763,NEF
13.81999969,11.85999966,1602,19,432,1.220000029,25,166,167,18,3050,1.848832607,NEF
9.479999542,8.770000458,511,-429,81,1,27,166,167,23,3050,2.136266947,NEF
7.019999981,6.630000114,128,83,45,1,28,166,166,27,3050,3.162277699,NEF
2.230000019,1.820000052,0,316,0,60.02999878,31,165,166,17,3050,1.940009356,NEF
9.779999733,1.360000014,0,-192,1002,28.85000038,32,165,166,28,3050,1.747725725,EF
8.800000191,7.650000095,132,-116,58,1,26,165,166,24,3050,1.990888476,NEF
9.489999771,1.330000043,0,329,1052,30.46999931,37,165,166,30,3050,1.700267434,EF
7.559999943,7.099999905,197,-100,41,1,24,165,166,22,3050,2.442055702,NEF
13.92000008,12.59000015,1930,-860,289,1.029999971,30,166,166,24,3050,1.858640671,EF
5.840000153,5.590000153,18,-145,42,1,27,165,166,25,3050,2.412090302,NEF
10,9.710000038,0,-73,0,17.11000061,21,166,167,12,3050,1.190874457,NEF
1.429999948,1.340000033,0,300,0,60.00999832,24,165,166,12,3050,1.48935616,NEF
9.979999542,9.659999847,0,-86,0,16.62000084,20,166,167,12,3050,1.368476152,NEF
13.56999969,12.38000011,1511,666,278,1,30,166,166,28,3050,1.348399758,NEF
10.96000004,9.81000042,746,-145,93,1,29,166,166,28,3050,1.361817002,NEF
9.510000229,1.230000019,0,571,1015,29.78000069,37,165,166,31,3050,1.940009356,EF
4.789999962,3.960000038,0,422,28,1,32,165,166,22,3050,1.29333961,NEF
12.39000034,10.96000004,1010,-104,278,1,29,166,166,28,3050,1.868397355,NEF
14.18999958,13.32999992,2953,261,288,11.78999996,34,165,166,33,3050,2.370270491,NEF
5.75,5.599999905,19,-365,48,1,21,165,166,18,3050,2.583162308,NEF
1.610000014,1.480000019,0,290,0,60.02999878,21,166,167,10,3050,1.368476272,NEF
10.69999981,1.210000038,0,466,210,21.36000061,33,165,166,33,3050,2.165850639,NEF
14.17000008,13.39999962,2977,247,221,15.31999969,42,165,165,27,3050,1.167748332,NEF
14.21000004,13.52999973,2987,574,299,14.92000008,38,165,166,33,3050,2.544155598,EF
7.150000095,6.570000172,120,-36,53,1,21,166,167,20,3050,2.583162069,NEF
9.800000191,1.24000001,0,332,1048,31.93000031,37,165,166,31,3050,1.86352551,NEF
10.38000011,1.309999943,0,-203,287,20.29999924,32,165,166,27,3050,1.916436076,EF
11.48999977,8.68999958,494,364,189,1,22,166,167,21,3050,0.943879783,NEF
9.81000042,1.419999957,0,328,944,32.02999878,37,165,166,29,3050,1.640399098,EF
10.11999989,9.5,662,-26,57,1,28,165,166,26,3050,1.136181831,NEF
9.319999695,7.619999886,254,228,29,1,30,166,166,29,3050,1.190874457,NEF
9.970000267,9.640000343,0,-87,0,21.35000038,21,166,166,12,3050,1.348399758,NEF
9.510000229,1.190000057,0,328,966,29.34000015,37,165,166,31,3050,1.804035783,NEF
9.159999847,1.330000043,0,262,1060,32.09999847,39,165,165,26,3050,0.687551618,EF
14.18999958,13.30000019,2962,233,221,14.13000011,42,165,165,27,3050,1.128152132,EF
5.050000191,4.940000057,3,-27,34,1,20,166,167,8,3050,1.044465899,NEF
2.099999905,1.700000048,0,316,0,60.04000092,30,165,166,17,3050,1.843908906,NEF
14.19999981,13.47000027,2808,-119,211,12.85000038,35,165,166,33,3050,1.793929219,NEF
9.979999542,9.68999958,0,-69,0,17.45000076,21,166,166,12,3050,1.136181831,NEF
6.289999962,6.159999847,63,78,49,1,30,165,166,29,3050,3.07777977,NEF
11.59000015,1.299999952,0,468,1020,14.14000034,34,165,166,32,3050,2.004540205,NEF
1.730000019,1.519999981,0,300,0,60.02000046,25,165,166,13,3050,1.501514435,NEF
11.39999962,1.210000038,0,-43,389,11.07999992,25,166,167,20,3050,1.848832607,NEF
4.679999828,3.799999952,0,-114,70,1,32,165,166,25,3050,1.29333961,NEF
1.629999995,1.519999981,0,290,0,60.02999878,21,166,166,10,3050,1.368476272,NEF
14.18000031,13.72999954,2929,-200,287,1.00999999,32,165,166,28,3050,1.954016924,EF
11.27999973,1.070000052,0,233,301,17.54000092,39,165,166,27,3050,1.026910663,EF
9.970000267,9.619999886,0,-88,0,18.25,21,166,167,12,3050,1.328019857,NEF
14.05000019,13.53999996,2528,459,204,1,34,165,166,33,3050,2.062654972,EF
9.359999657,9,566,448,61,1,18,166,167,17,3050,1.009050012,NEF
13.52999973,11.18000031,1288,233,299,1.889999986,39,165,166,27,3050,0.82019949,EF
10.69999981,1.210000038,0,466,210,21.36000061,33,165,166,33,3050,2.165850639,EF
11.19999981,10.27999973,819,190,4,1,32,166,166,30,3050,1.009049892,NEF
5.610000134,5.53000021,16,-334,39,1,30,165,166,17,2501,1.213559628,NEF
9.960000038,9.630000114,0,-88,0,17.30999947,21,166,167,12,3050,1.601135969,NEF
10.85000038,10.02000046,845,-6,166,1,24,166,167,19,3050,1.56669879,NEF
14.21000004,13.52999973,2987,574,299,14.92000008,38,165,166,33,3050,2.544155598,NEF
13.61999989,11.44999981,1434,-189,280,1,30,165,166,25,3050,1.91168654,EF
10.84000015,10.35000038,949,107,68,1,30,166,166,29,3050,1.694912195,NEF
10.47000027,1.340000033,0,-215,423,22.02000046,30,165,166,26,3050,1.721521616,EF
5.670000076,5.179999828,8,97,48,1,23,166,166,19,3050,2.693426371,NEF
14.14000034,12.76000023,1927,315,211,11.10000038,37,165,166,24,3050,0.809039891,EF
10.32999992,9.199999809,602,-72,125,1,26,166,167,25,3050,1.501514435,NEF
9.609999657,8.899999619,528,-358,61,1,31,166,166,29,3050,0.943879783,NEF
0,655.3499756,0,302,0,91.90000153,33,166,165,22,3006,1.439696908,NEF
9.06000042,8.220000267,365,-444,55,1,29,165,166,28,3050,1.221027851,NEF
1.570000052,0,0,276,110,66.69999695,35,165,166,29,3050,1.361817002,NEF
7.010000229,6.610000134,127,-144,55,1,22,166,167,20,3050,3.562430382,NEF
6.110000134,5.929999828,46,-58,50,1,18,165,166,12,3050,2.766685009,NEF
14.18999958,13.52000046,2988,196,217,12.65999985,40,165,165,27,3050,0.904533982,NEF
10.57999992,10.13000011,894,-54,154,1,22,166,167,20,3050,1.433368444,NEF
13.39999962,11.72000027,1545,-49,277,1,24,166,167,22,3050,1.420627356,NEF
1.5,1.129999995,0,326,0,60.04000092,32,165,166,18,3050,1.990888238,NEF
7.889999866,7.400000095,248,-264,57,1,25,165,166,21,3050,3.068905354,NEF
8.800000191,6.75,82,-115,108,1,21,166,167,20,3050,0.820199549,NEF
1.24000001,0.910000026,0,307,0,60.04999924,33,165,166,18,3050,2.018099785,NEF
9.409999847,1.299999952,0,471,1006,29.32999992,34,165,166,32,3050,1.91168654,EF
9.18999958,1.269999981,0,-197,993,25.29999924,33,165,166,28,3050,2.097617626,EF
5.21999979,4.760000229,0,-82,76,1,21,166,167,15,3050,1.555050492,NEF
14.18000031,13.36999989,2965,331,210,13.38000011,38,165,166,26,3050,1.128152132,EF
0,0,0,-6,0,91.90000153,25,166,166,16,2501,0.934198797,NEF
4.989999771,4.679999828,0,94,82,1,30,165,166,17,3050,1.250454426,NEF
9.869999886,7.130000114,77,-40,86,1,32,166,166,32,3050,0.750757217,NEF
0.01,0,0,642,0,91.94999695,29,165,165,21,2501,1.183215976,NEF
13,12.81999969,1693,265,165,1,21,165,166,19,3050,1.286291361,NEF
6.389999866,5.920000076,44,231,47,1,28,165,166,25,3050,3.196588993,NEF
14.15999985,13.61999989,2644,-217,289,2.309999943,30,166,166,28,3050,1.91168654,EF
9.489999771,1.330000043,0,329,1052,30.46999931,37,165,166,30,3050,1.700267434,NEF
8.380000114,1.080000043,0,-132,207,21.31999969,22,166,167,19,3050,1.120064974,NEF
9.979999542,9.579999924,0,-91,0,18.32999992,21,166,167,12,3050,1.213559628,NEF
0,0,0,594,0,91.95999908,19,166,167,12,3050,1.328019738,NEF
8.529999733,0,0,-54,0,32.75,21,166,167,13,3050,1.375103235,NEF
9.989999771,9.569999695,0,-88,0,17.78000069,21,166,167,12,3050,1.328019857,NEF
13.90999985,13.15999985,2216,216,301,1.129999995,39,166,166,26,3050,1.009049892,EF
9.350000381,1.659999967,0,5,294,17.56999969,24,166,167,19,3050,1.629277587,NEF
9.039999962,8.270000458,409,-487,75,1,27,166,166,25,3050,2.981762648,NEF
9.350000381,1.25999999,0,264,1074,27.90999985,40,165,166,26,3050,0.873862982,NEF
1.840000033,1.74000001,0,300,0,60.02000046,23,166,166,11,3050,1.368476272,NEF
10.06999969,9.020000458,543,230,64,1,32,165,166,31,3050,1.078719735,NEF
11.76000023,10.64999962,1083,263,132,1,29,166,166,26,3050,1.694912076,NEF
11.27999973,1.070000052,0,233,301,17.54000092,39,165,166,27,3050,1.026910663,NEF
1.629999995,1.539999962,0,300,0,60.02000046,24,165,166,13,3050,1.549193382,NEF
14.15999985,13.47999954,2530,263,221,4.139999866,40,165,165,25,3050,1.136181831,NEF
12.18999958,1.340000033,0,607,301,26.97999954,36,165,166,28,3050,1.804035783,EF
1.659999967,1.570000052,0,300,0,60.02999878,22,166,166,10,3050,1.272077799,NEF
14.19999981,13.67000008,3011,-532,286,13.60000038,34,165,166,28,3050,2.06705761,NEF
7.239999771,0.889999986,0,13,1112,26.37999916,22,166,167,18,3050,1.513574958,NEF
14.15999985,13.36999989,2587,228,299,4.920000076,38,165,166,27,3050,0.934198678,EF
14.18999958,13.42000008,2983,326,209,16.35000038,37,165,166,31,3050,1.747725725,NEF
